sin,sinlog,time_a,cnt
fig1,60分鐘以上,17:25,849.0
fig1,停留21-30分鐘,17:30,38.0
fig1,60分鐘以上,14:40,10970.0
fig1,停留5-10分鐘,15:05,232.0
fig1,60分鐘以上,15:45,8798.0
fig1,停留5-10分鐘,14:00,221.0
fig1,停留11-20分鐘,16:40,113.0
fig1,60分鐘以上,17:10,940.0
fig1,停留21-30分鐘,15:50,114.0
fig1,60分鐘以上,14:55,10701.0
fig1,停留11-20分鐘,15:50,236.0
fig1,停留21-30分鐘,16:40,57.0
fig1,停留5-10分鐘,14:15,308.0
fig1,60分鐘以上,16:20,3767.0
fig1,停留21-30分鐘,16:55,67.0
fig1,60分鐘以上,15:30,9776.0
fig1,60分鐘以上,16:35,2135.0
fig1,停留11-20分鐘,17:30,42.0
fig1,停留11-20分鐘,16:55,83.0
fig1,停留11-20分鐘,14:25,153.0
fig1,停留11-20分鐘,16:05,218.0
fig1,停留21-30分鐘,14:25,114.0
fig1,停留5-10分鐘,16:50,214.0
fig1,停留21-30分鐘,13:35,129.0
fig1,停留31-60分鐘,14:30,502.0
fig1,停留21-30分鐘,15:15,44.0
fig1,停留31-60分鐘,13:55,591.0
fig1,停留31-60分鐘,15:20,549.0
fig1,停留11-20分鐘,13:35,128.0
fig1,停留11-20分鐘,15:15,123.0
fig1,停留31-60分鐘,17:15,218.0
fig1,停留31-60分鐘,17:00,292.0
fig1,停留31-60分鐘,14:45,691.0
fig1,停留31-60分鐘,13:40,561.0
fig1,停留11-20分鐘,15:00,105.0
fig1,停留31-60分鐘,16:10,334.0
fig1,停留21-30分鐘,14:10,135.0
fig1,60分鐘以上,14:05,10493.0
fig1,停留31-60分鐘,15:35,513.0
fig1,停留21-30分鐘,16:05,103.0
fig1,停留11-20分鐘,14:10,232.0
fig1,停留31-60分鐘,16:25,308.0
fig1,停留21-30分鐘,15:00,85.0
fig1,60分鐘以上,16:40,1805.0
fig1,停留5-10分鐘,15:10,271.0
fig1,停留5-10分鐘,14:35,251.0
fig1,停留5-10分鐘,16:15,367.0
fig1,60分鐘以上,13:45,9931.0
fig1,停留5-10分鐘,16:00,325.0
fig1,60分鐘以上,16:55,1302.0
fig1,停留5-10分鐘,14:20,262.0
fig1,停留5-10分鐘,17:05,129.0
fig1,60分鐘以上,15:50,8408.0
fig1,停留5-10分鐘,15:25,274.0
fig1,60分鐘以上,13:30,8676.0
fig1,停留5-10分鐘,13:45,231.0
fig1,60分鐘以上,17:30,340.0
fig1,停留5-10分鐘,13:30,272.0
fig1,停留21-30分鐘,16:25,86.0
fig1,停留11-20分鐘,15:20,153.0
fig1,停留11-20分鐘,16:25,326.0
fig1,停留11-20分鐘,14:45,147.0
fig1,停留21-30分鐘,13:40,122.0
fig1,停留31-60分鐘,17:20,183.0
fig1,60分鐘以上,16:05,5639.0
fig1,停留21-30分鐘,14:45,93.0
fig1,停留31-60分鐘,16:45,292.0
fig1,停留31-60分鐘,15:55,486.0
fig1,60分鐘以上,14:25,10936.0
fig1,停留11-20分鐘,17:00,90.0
fig1,60分鐘以上,14:10,10759.0
fig1,60分鐘以上,15:00,10973.0
fig1,停留11-20分鐘,14:30,152.0
fig1,停留11-20分鐘,16:10,214.0
fig1,停留31-60分鐘,14:50,608.0
fig1,停留21-30分鐘,16:10,90.0
fig1,停留21-30分鐘,15:35,95.0
fig1,停留11-20分鐘,13:55,200.0
fig1,停留21-30分鐘,14:30,123.0
fig1,停留21-30分鐘,17:15,54.0
fig1,停留11-20分鐘,17:15,104.0
fig1,停留31-60分鐘,15:40,558.0
fig1,停留11-20分鐘,13:40,156.0
fig1,停留21-30分鐘,17:00,67.0
fig1,停留11-20分鐘,15:35,185.0
fig1,停留31-60分鐘,16:30,253.0
fig1,停留21-30分鐘,13:55,136.0
fig1,停留21-30分鐘,15:20,42.0
fig1,60分鐘以上,15:15,10120.0
fig1,停留5-10分鐘,17:10,186.0
fig1,停留5-10分鐘,17:25,260.0
fig1,60分鐘以上,13:50,10017.0
fig1,停留5-10分鐘,16:20,320.0
fig1,停留31-60分鐘,14:15,573.0
fig1,停留5-10分鐘,13:50,190.0
fig1,停留5-10分鐘,14:40,254.0
fig1,停留5-10分鐘,14:55,177.0
fig1,停留5-10分鐘,15:30,275.0
fig1,停留31-60分鐘,14:00,576.0
fig1,停留31-60分鐘,15:05,536.0
fig1,停留5-10分鐘,16:35,218.0
fig1,停留5-10分鐘,15:45,366.0
fig1,停留11-20分鐘,14:50,123.0
fig1,60分鐘以上,16:25,3021.0
fig1,停留21-30分鐘,16:45,66.0
fig1,停留5-10分鐘,14:05,210.0
fig1,停留21-30分鐘,16:30,84.0
fig1,60分鐘以上,14:45,11175.0
fig1,停留21-30分鐘,17:20,77.0
fig1,停留31-60分鐘,16:50,271.0
fig1,停留11-20分鐘,15:40,223.0
fig1,停留11-20分鐘,15:55,238.0
fig1,60分鐘以上,17:00,1114.0
fig1,60分鐘以上,14:30,11169.0
fig1,60分鐘以上,15:20,9834.0
fig1,停留11-20分鐘,16:45,123.0
fig1,停留11-20分鐘,16:30,209.0
fig1,60分鐘以上,17:15,989.0
fig1,停留11-20分鐘,17:20,122.0
fig1,60分鐘以上,16:10,4795.0
fig1,60分鐘以上,15:35,9419.0
fig1,停留21-30分鐘,14:50,84.0
fig1,停留21-30分鐘,15:40,117.0
fig1,停留21-30分鐘,15:55,115.0
fig1,停留5-10分鐘,16:40,273.0
fig1,停留31-60分鐘,14:20,541.0
fig1,停留31-60分鐘,14:35,454.0
fig1,停留5-10分鐘,17:30,102.0
fig1,停留5-10分鐘,15:50,341.0
fig1,停留31-60分鐘,15:25,612.0
fig1,停留21-30分鐘,14:00,137.0
fig1,停留11-20分鐘,14:00,213.0
fig1,停留31-60分鐘,13:45,637.0
fig1,停留11-20分鐘,14:15,219.0
fig1,停留31-60分鐘,16:15,368.0
fig1,停留31-60分鐘,13:30,562.0
fig1,停留31-60分鐘,16:00,475.0
fig1,停留5-10分鐘,16:55,254.0
fig1,停留31-60分鐘,15:10,485.0
fig1,停留21-30分鐘,15:05,63.0
fig1,停留21-30分鐘,14:15,135.0
fig1,停留31-60分鐘,17:05,217.0
fig1,停留11-20分鐘,15:05,116.0
fig1,60分鐘以上,14:50,10924.0
fig1,停留5-10分鐘,16:05,299.0
fig1,60分鐘以上,16:45,1665.0
fig1,停留5-10分鐘,13:35,261.0
fig1,60分鐘以上,17:20,1020.0
fig1,停留5-10分鐘,15:00,150.0
fig1,停留11-20分鐘,16:50,87.0
fig1,停留5-10分鐘,14:25,270.0
fig1,停留21-30分鐘,16:50,56.0
fig1,60分鐘以上,16:30,2487.0
fig1,停留5-10分鐘,14:10,284.0
fig1,60分鐘以上,15:55,7380.0
fig1,60分鐘以上,15:40,9193.0
fig1,60分鐘以上,13:35,8681.0
fig1,停留5-10分鐘,15:15,281.0
fig1,停留11-20分鐘,16:00,241.0
fig1,停留11-20分鐘,16:15,348.0
fig1,停留21-30分鐘,15:25,78.0
fig1,停留21-30分鐘,13:45,137.0
fig1,60分鐘以上,14:00,10881.0
fig1,60分鐘以上,15:05,10375.0
fig1,60分鐘以上,14:15,11248.0
fig1,停留31-60分鐘,14:40,558.0
fig1,停留21-30分鐘,15:10,52.0
fig1,停留31-60分鐘,17:10,218.0
fig1,停留31-60分鐘,16:35,246.0
fig1,停留11-20分鐘,13:30,180.0
fig1,停留11-20分鐘,14:20,183.0
fig1,停留21-30分鐘,13:30,154.0
fig1,停留11-20分鐘,15:10,126.0
fig1,停留11-20分鐘,14:35,207.0
fig1,停留31-60分鐘,15:45,558.0
fig1,停留21-30分鐘,16:00,105.0
fig1,停留21-30分鐘,14:20,106.0
fig1,停留21-30分鐘,16:15,94.0
fig1,停留11-20分鐘,17:05,116.0
fig1,停留31-60分鐘,13:50,652.0
fig1,停留11-20分鐘,15:25,144.0
fig1,停留31-60分鐘,14:55,551.0
fig1,停留31-60分鐘,16:20,299.0
fig1,停留21-30分鐘,14:35,95.0
fig1,停留11-20分鐘,13:45,161.0
fig1,停留21-30分鐘,17:05,47.0
fig1,停留31-60分鐘,17:25,172.0
fig1,停留31-60分鐘,15:30,558.0
fig1,停留5-10分鐘,13:40,252.0
fig1,停留5-10分鐘,17:15,216.0
fig1,停留5-10分鐘,16:25,268.0
fig1,60分鐘以上,16:50,1540.0
fig1,停留5-10分鐘,15:35,282.0
fig1,60分鐘以上,13:40,9342.0
fig1,60分鐘以上,13:55,10311.0
fig1,停留5-10分鐘,15:20,290.0
fig1,停留31-60分鐘,14:05,473.0
fig1,停留5-10分鐘,13:55,251.0
fig1,停留5-10分鐘,14:45,203.0
fig1,停留5-10分鐘,14:30,234.0
fig1,停留5-10分鐘,16:10,269.0
fig1,停留5-10分鐘,17:00,269.0
fig1,停留31-60分鐘,16:55,249.0
fig1,停留11-20分鐘,15:45,211.0
fig1,停留11-20分鐘,16:35,146.0
fig1,60分鐘以上,16:15,4550.0
fig1,60分鐘以上,14:35,10938.0
fig1,停留31-60分鐘,16:40,214.0
fig1,停留21-30分鐘,15:45,123.0
fig1,停留21-30分鐘,14:40,99.0
fig1,60分鐘以上,16:00,6734.0
fig1,停留21-30分鐘,15:30,86.0
fig1,60分鐘以上,15:10,9939.0
fig1,停留11-20分鐘,14:40,143.0
fig1,60分鐘以上,14:20,10890.0
fig1,停留11-20分鐘,14:55,112.0
fig1,停留21-30分鐘,13:50,132.0
fig1,停留11-20分鐘,17:10,98.0
fig1,停留11-20分鐘,17:25,110.0
fig1,停留11-20分鐘,13:50,179.0
fig1,停留21-30分鐘,14:55,74.0
fig1,停留21-30分鐘,16:35,81.0
fig1,停留11-20分鐘,16:20,269.0
fig1,停留11-20分鐘,15:30,165.0
fig1,60分鐘以上,17:05,1076.0
fig1,60分鐘以上,15:25,9680.0
fig1,停留21-30分鐘,17:10,53.0
fig1,停留21-30分鐘,16:20,86.0
fig1,停留21-30分鐘,17:25,87.0
fig1,停留31-60分鐘,17:30,88.0
fig1,停留31-60分鐘,15:50,565.0
fig1,停留5-10分鐘,14:50,206.0
fig1,停留5-10分鐘,15:40,333.0
fig1,停留31-60分鐘,13:35,576.0
fig1,停留11-20分鐘,14:05,205.0
fig1,停留5-10分鐘,17:20,257.0
fig1,停留31-60分鐘,14:10,537.0
fig1,停留31-60分鐘,16:05,376.0
fig1,停留31-60分鐘,14:25,546.0
fig1,停留21-30分鐘,14:05,156.0
fig1,停留31-60分鐘,15:15,594.0
fig1,停留5-10分鐘,16:30,223.0
fig1,停留5-10分鐘,15:55,319.0
fig1,停留31-60分鐘,15:00,545.0
fig1,停留5-10分鐘,16:45,281.0
